Event,Probability
Earth-like planet around a star,1
Getting struck by lightning in a year,0.0002
Significant asteroid impact per year,0.0002
General cancer diagnosis in a lifetime,33
Lung cancer diagnosis in a lifetime,6.7
Breast cancer diagnosis in a lifetime (women),12.5
Prostate cancer diagnosis in a lifetime (men),11.1
Plane crash per flight,0.000009
Winning the lottery,0.00000033
Shark attack in a year,0.000027
Meteorite hitting a person in a year,0.0000625
Auto accident per mile driven,0.27
Hole-in-one in golf for an amateur,0.008
Twins birth naturally,0.4

